panel,check,status,score_pct,stars,detail,what_to_do,evidence
"Inversores","La licencia encaja con el modelo","Bien","95","5","Licencia comparada con las señales de monetización encontradas.","Elige una licencia que sirva a la adopción y mantenga aparte la capa de pago.","LICENSE:1 | LICENSE:178 | LICENSE_STRATEGY.md:19"
"Inversores","Prueba de ejecución","Bien","92","4.5","11 archivos de test, 12 commits, CI y changelog.","Muestra ejecución constante: tests, CI, versiones y changelog.","tests | ci | git"
"Inversores","Evidencia de adopción","Falla","5","0.5","0 versiones publicadas, 2 contribuidores; usuarios o testimonios: 0.","Consigue usuarios reales antes de buscar inversión: publica una versión, lista quién lo usa y reúne dos o tres testimonios.","git tags | git authors | adopters"
"Inversores","Defensibilidad","Bien","100","5","Se buscaron ventajas de datos, alojamiento o empresa difíciles de copiar.","Explica qué mejora con el uso (datos, calibración, integraciones).","LICENSE_STRATEGY.md:10 | LICENSE_STRATEGY.md:26 | README.md:119 | README.md:263 | LICENSE_STRATEGY.md:4 | LICENSE_STRATEGY.md:10 | LICENSE_STRATEGY.md:11 | LICENSE_STRATEGY.md:19"
"Inversores","Mercado objetivo claro","Bien","90","4.5","Para quién es: equipos, desarrollo, consumidores, agentes de IA.","Nombra el primer segmento de clientes y el trabajo por el que te paga.","README.md:11 | README.md:80 | README.md:133 | README.md:22 | README.md:23 | README.md:95 | README.md:96 | README.md:116"
"Inversores","Límites y riesgos honestos","Bien","100","5","Se buscaron limitaciones declaradas y una política de seguridad.","Declara las limitaciones con claridad; la honestidad genera confianza.","CONTRIBUTING.md:29 | README.md:39 | README.md:213 | README.md:214 | SECURITY.md"
"Inversores","Gobernanza de código abierto","Bien","100","5","Se revisaron CONTRIBUTING, CODE_OF_CONDUCT, SECURITY y TRADEMARKS.","Añade archivos de gobernanza para que las empresas puedan adoptar y colaborar con seguridad.","CONTRIBUTING.md | CODE_OF_CONDUCT.md | SECURITY.md | TRADEMARKS.md"
"Equipo rojo","Sin secretos en el repositorio","Bien","100","5","0 posibles secretos (valores enmascarados).","Revoca cualquier clave expuesta, bórrala del historial y añade escaneo de secretos al CI.",""
"Equipo rojo","Sin dependencias vulnerables conocidas","Bien","100","5","npm audit: 0 críticas y 0 altas en dependencias de producción.","Actualiza o sustituye los paquetes vulnerables.","npm audit --omit=dev"
"Equipo rojo","No se ejecuta código al instalar","Bien","100","5","0 hooks de instalación (preinstall/install/postinstall).","Evita los hooks de instalación; pasa la configuración a un comando explícito.",""
"Equipo rojo","CI reforzado","Bien","100","5","0 posibles inyecciones; 0 acciones fijadas por etiqueta y no por commit.","Pasa las entradas por variables de entorno, declara permisos mínimos y fija las acciones.",""
"Equipo rojo","Sin prompt injection en archivos que leen los agentes","Bien","100","5","18 archivos legibles por agentes; 0 instrucciones sospechosas o caracteres ocultos.","Elimina el Unicode oculto y las instrucciones dirigidas a la IA de documentación, skills y prompts.",""
"Equipo rojo","Herramientas MCP con mínimo privilegio","Bien","100","5","8 herramientas MCP; 0 capacidades peligrosas; 10 protecciones (validación, listas permitidas).","Dale a cada herramienta MCP entradas acotadas, listas permitidas y nada de shell; descripciones sin instrucciones.","src/mcp/server.ts:12 | src/mcp/server.ts:25 | src/mcp/server.ts:34 | src/mcp/server.ts:105 | src/mcp/server.ts:135"
"Equipo rojo","Sin permisos de agente demasiado amplios","Bien","100","5","0 autoaprobaciones, consejos de «saltar permisos» o instalaciones curl | sh.","Nunca recomiendes saltar permisos; ofrece configuraciones acotadas e instaladores firmados.",""
"Equipo rojo","La salida del modelo se valida","Bien","80","4","5 archivos llaman a un LLM; 2 validan la respuesta con un esquema.","Trata el contenido web como datos: valida cada respuesta del modelo con un esquema antes de actuar.","src/cli/main.ts | src/mcp/server.ts | src/auditors/llm-auditor.ts | src/simulator/llm-policy.ts"
"Equipo rojo","Ejecución de shell limitada","Bien","76","4","3 lugares ejecutan comandos de shell.","Evita shell:true; pasa argumentos como lista y nunca interpoles datos del usuario.","scripts/secret-scan.mjs:15 | src/engines/external.ts:60 | src/panels/developers.ts:47"
"Equipo rojo","Superficie web (Argus)","Mejorar","71","3.5","Comprobaciones pasivas de Argus en el sitio público: 9 hallazgos.","Añade cabeceras de seguridad, redirecciones HTTPS y páginas de privacidad accesibles.","argus:headers.clickjacking-protection-not-observed | argus:privacy.no-privacy-link | argus:transport.hsts-not-observed | argus:transport.no-https-redirect | argus:a11y.html-lang-not-observed | argus:headers.permissions-policy-not-observed | argus:headers.referrer-policy-not-observed | argus:headers.x-content-type-options-not-observed"
"Equipo rojo","Privacidad: cookies y terceros","Bien","100","5","0 servidores de terceros llamados y 0 cookies creadas durante los recorridos.","Quita llamadas a terceros innecesarias y crea cookies solo tras el consentimiento.","cookies"
"Segmentos","Accesibilidad","Mejorar","66","3.5","1 páginas revisadas: etiquetas, texto alternativo, nombres de controles, tamaño táctil, contraste e idioma.","Etiqueta cada campo, añade texto alternativo, agranda los objetivos pequeños y corrige el contraste.","https://abrahamhl.github.io/buyer-arena-site/es/ | https://abrahamhl.github.io/buyer-arena-site/es/#small_target"
"Segmentos","Funciona con conexión lenta","Bien","100","5","Con una conexión móvil lenta, el 100% alcanzó el objetivo; carga mediana 0 ms.","Reduce el peso de la página y muestra la acción principal antes que nada.","current-p-001:e0 | current-p-002:e0 | current-p-003:e0"
"Segmentos","Funciona sin crear cuenta","Bien","100","5","El 100% de quienes no quieren crear cuenta alcanzó igualmente el objetivo.","Ofrece un camino de invitado o un inicio sin contraseña (enlace mágico, prueba sin registro).",""
"Segmentos","Zoom al 200 % y pantallas pequeñas","Bien","100","5","Desbordamiento horizontal con zoom al 200 % / 320 px: 0/0 px.","Deja que el contenido se reacomode; nada de anchos fijos mayores que la pantalla.","https://abrahamhl.github.io/buyer-arena-site/es/ @zoom200 | https://abrahamhl.github.io/buyer-arena-site/es/ @phone320"
"Segmentos","Otros idiomas","Bien","100","5","Idioma de la página «es»; 4 enlaces a otros idiomas.","Declara el idioma de la página y ofrece páginas traducidas con hreflang.","https://abrahamhl.github.io/buyer-arena-site/es/"
"Segmentos","Igualdad en el móvil","Bien","100","5","Objetivo alcanzado: móvil 100%, ordenador 100%.","Prueba el camino completo en un móvil: menús, pop-ups y formularios.","current-p-004:e0 | current-p-009:e0 | current-p-014:e0"
